조사번호	조사지역	주구분	조사일자	시간대	X좌표	Y좌표	행정구역명	날씨	남자10대	남자20대	남자30대	남자40대	남자50대	여자10대	여자20대	여자30대	여자40대	여자50대
3035	 류병훈 성형외과 앞 (부평농협 옆) 지점	주중	2010-06-17	19시~20시까지	287246	544272	인천광역시 부평구 부평1동	맑음	135	115	84	125	85	149	167	96	197	116
3035	 류병훈 성형외과 앞 (부평농협 옆) 지점	주말	2010-07-10	12시~13시까지	287246	544272	인천광역시 부평구 부평1동	맑음	153	255	102	72	75	243	282	168	171	54
3035	 류병훈 성형외과 앞 (부평농협 옆) 지점	주말	2010-07-10	19시~20시까지	287246	544272	인천광역시 부평구 부평1동	맑음	169	280	112	86	82	267	310	184	185	61
3036	A포인트:계산역 &10106;번 출구 동측 5미터지점(계산동921	주중	2010-07-01	12시~13시까지	287826	549784	인천광역시 계양구 계산동	맑음	66	129	108	129	144	69	186	186	180	81
3036	A포인트:계산역 &10106;번 출구 동측 5미터지점(계산동921	주중	2010-07-01	19시~20시까지	287826	549784	인천광역시 계양구 계산동	맑음	261	267	126	141	99	351	336	189	159	78
3037	B포인트:계산역 &10102;번출구 앞(,계산동355-5)	주중	2010-07-01	12시~13시까지	287866	549738	인천광역시 계양구 계산동	맑음	39	33	42	63	72	45	33	42	63	72
3037	B포인트:계산역 &10102;번출구 앞(,계산동355-5)	주중	2010-07-01	19시~20시까지	287866	549738	인천광역시 계양구 계산동	맑음	99	156	66	132	48	135	162	81	105	39
3566	A지점 : 남인천농협앞	주중	2010-06-15	12시~13시까지	286552	537216	인천광역시 남동구 남촌도림동	맑음	0	6	15	22	15	0	18	30	32	54
3566	A지점 : 남인천농협앞	주중	2010-06-15	19시~20시까지	286552	537216	인천광역시 남동구 남촌도림동	맑음	44	15	14	17	24	24	10	13	43	39
3566	A지점 : 남인천농협앞	주말	2010-07-03	12시~13시까지	286552	537216	인천광역시 남동구 남촌도림동	흐림	28	27	24	32	18	16	29	32	45	48
3566	A지점 : 남인천농협앞	주말	2010-07-03	19시~20시까지	286552	537216	인천광역시 남동구 남촌도림동	흐림	72	30	27	33	48	48	21	27	72	78
